Algorithm,PID,Finish,Turnaround,Waiting
FCFS,P_Low,10,10,0
FCFS,P_High1,15,14,9
FCFS,P_High2,20,18,13
FCFS,P_High3,25,22,17
FCFS,P_High4,30,26,21
FCFS,P_High5,35,30,25
SJF,P_Low,10,10,0
SJF,P_High1,15,14,9
SJF,P_High2,20,18,13
SJF,P_High3,25,22,17
SJF,P_High4,30,26,21
SJF,P_High5,35,30,25
Round Robin,P_Low,35,35,25
Round Robin,P_High1,23,22,17
Round Robin,P_High2,25,23,18
Round Robin,P_High3,27,24,19
Round Robin,P_High4,32,28,23
Round Robin,P_High5,34,29,24
Priority,P_Low,10,10,0
Priority,P_High1,15,14,9
Priority,P_High2,20,18,13
Priority,P_High3,25,22,17
Priority,P_High4,30,26,21
Priority,P_High5,35,30,25
